RNA_Accession,Lineage,SampleID
ERR3039920,1,jody_1
ERR3039921,4,jody_2
ERR3039922,1,jody_3
ERR3039923,4,jody_4
ERR3039924,4,jody_5
ERR3039925,1,jody_6
ERR3039926,1,jody_7
ERR3039927,4,jody_8
ERR3039928,4,jody_9
ERR3039929,4,jody_10
ERR3039930,4,jody_11
ERR3039931,1,jody_12
ERR3039932,1,jody_13
ERR3039933,4,jody_14
ERR3039934,1,jody_15
ERR3039935,1,jody_16
ERR3039936,4,jody_17
ERR3039937,4,jody_18
ERR3039938,2,jody_19
ERR3039939,2,jody_20
ERR3039940,4,jody_21
ERR3039941,4,jody_22
