DNA_Accession,Lineage,SampleID
ERR181750,1,jody_1
ERR181742,4,jody_2
ERR181739,1,jody_3
ERR181745,4,jody_4
ERR181757,4,jody_5
ERR181794,1,jody_6
ERR181798,1,jody_7
ERR181826,4,jody_8
ERR216945,4,jody_9
ERR181818,4,jody_10
ERR221595,4,jody_11
ERR221596,1,jody_12
ERR181836,1,jody_13
ERR212132,4,jody_14
ERR212155,1,jody_15
ERR212157,1,jody_16
ERR216982,4,jody_17
ERR216974,4,jody_18
ERR216962,2,jody_19
ERR216966,2,jody_20
ERR161049,4,jody_21
ERR163938,4,jody_22
